state,x,y
Andhra Pradesh,-63,-118
Arunachal Pradesh,212,141
Assam,186,95
Bihar,57,77
Chhattisgarh,-14,-22
Goa,-165,-137
Gujarat,-219,11
Haryana,-112,141
Himachal Pradesh,-95,199
Jharkhand,51,32
Karnataka,-126,-151
Kerala,-118,-236
Madhya Pradesh,-83,18
Maharashtra,-147,-61
Manipur,214,67
Meghalaya,151,78
Mizoram,196,30
Nagaland,220,92
Odisha,41,-26
Punjab,-128,178
Rajasthan,-170,92
Sikkim,110,116
Tamil Nadu,-81,-233
Telangana,-74,-73
Tripura,169,40
Uttar Pradesh,-46,104
Uttarakhand,-62,164
West Bengal,93,23
